ProductName,Category,Rating,ImageLink,DiscountedPrice,ActualPrice,AboutProduct
"1000, watt, room, heater, fan, india","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",4.5,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/314HwKNEFEL._SX300_SY300_QL70_FMwebp_.jpg,784.0,1599.0,"2000, watt, fan, heater, dual, heat, gift, friendly, pocket, worry, feel, burning, smell, burning, focus, packaging, product, sure, customer, product, working, condition"
"amazon, basics, watt, room, heater, adjustable, thermostat, isi, certified, white, color, ideal, small, medium, room, area","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",3.1,https://m.media-amazon.com/images/I/31b0ZuxuesL._SY300_SX300_QL70_FMwebp_.jpg,1049.0,1699.0,"goodbye, worries, dealing, cold, weather, amazon, basics, electric, room, small, medium, size, knobs, heat, mode, 1000w, 2000w, thermostat, temperature, 2, heat, modes, 1000, watts, 2000, fan, motor, evenly, distributes, heat, lightweight, room, heater, placed, fire, retardant, body, metal, grill, contains, copper, ensure, safety, quiet, operation, inbuilt, thermostat, safety"
"orpat, 2000, watt, fan, heater, grey","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",4.1,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41DwZuxPCaL._SY300_SX300_QL70_FMwebp_.jpg,1464.0,1650.0,"meant, spot, heating, safety, mesh, grill, 100, pure, copper, wire, motor, longer, size, upto, 250, sq, small, medium, sized, room, makes, noise, sagging, stitching, type, long, life, heating, cut, auto, revolving, heater, overheat, protection, touch, cut, added, heat, watts, 2000, watts"
"melbon, 2000, watt, room, heater, isi, certified, white, color, ideal, electric, fan, heater, small, medium, room, area, plastic, body","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",4.6,https://m.media-amazon.com/images/I/41xLjSyJtYL._SX300_SY300_QL70_FMwebp_.jpg,998.0,2999.0,"lightweight, kg, easy, portability, rooms, plastic, body, rust, free, metal, grill, throw, range, 10, feet, ideal, small, medium, sized, room, product, placed, vertically, horizontally, kindly, refer, 2400, rpm, copper, winded, motor, quick, heating, vertically, horizontally, kindly, refer, warm, hot, wind, selection, knob, heat, setting, note, regulator, changes, heating, power, actual, fan, speed"
"usha, hc, 812, t, thermo, fan, room, heater","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",3.8,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41UHdKluMBL._SY300_SX300_QL70_FMwebp_.jpg,2320.0,3290.0,"heat, year"
"saiellin, room, heater, home, 2000, watts, room, heater, bedroom, isi, approved, 1, year, warranty, 250, sq, feet, blower, heater, room, heaters, home, winters","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",3.9,https://m.media-amazon.com/images/I/41VYlxCZqLL._SX300_SY300_QL70_FMwebp_.jpg,979.0,1999.0,"room, heater, home, meant, spot, heating, room, size, upto, 250, sq, ft, 100, pure, copper, wire, motor, long, home, ideal, s, room, heater, bedroom, small, medium, room, 250, sq, ft, operated, 2000, watt, heat, setting, makes, noise, fan, body, material, plastic, blower, hitter, comes, powerful, 2400, rpm, copper, winded, motor, quick, heating, vertically, horizontally, kindly, refer, worry, experience, burning, smell, run, room, heater, 1st, time, motor, varnish, getting, heated, 1st, time, problem, recur, subsequent, usage, contact, customer, heaters, home, winters, gives, cool, warm, hot, wind, selection, knob, heat, setting, note, regulator, changes, heating, power, actual, fan, kg, easy, portability, rooms, plastic, body, rust, free, metal, grill"
"crompton, insta, delight, fan, circulator, room, heater, 3, heat, settings, slate, grey, black, 2000, watt","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",4.1,https://m.media-amazon.com/images/I/31vL9-jaaJL._SX300_SY300_QL70_FMwebp_.jpg,2590.0,4200.0,"tapping, natural, phenomenon, known, convection, air, fan, passing, heating, easy, portability, multiple, heat, settings, makes, quintessential, appliance, chilly, 3, heat, setting, turbo, fan, design, spread, heat, quickly, heat, protection, height, adjustable, stand, comfort, ease, isi, approved, product, powered, shock, proof, body, carrying, 1, years, warranty, provided, crompton, date, purchase, covers, manufacturing, defects, kindly, read, usermanual, details"
"bajaj, majesty, rx11, 2000, watts, heat, convector, room, heater, white, isi, approved","home, kitchen, heating,cooling, airquality, roomheaters, electricheaters",4.1,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31Di52QEVdL._SX300_SY300_QL70_FMwebp_.jpg,2169.0,3279.0,"instant, warmth, 2000, watts, heat, convector, room, heater, ensure, comfort, chilly, winters, rated, comfort, customized, heating, needs, adjustable, thermostat, heat, settings, 1000, 2000, w, cord, mind, featuring, auto, thermal, shutoff, thermal, fuse, prevent, elegant, rx10, comes, way, installation, horizontal, acts, heater, winter, personal, fan, safe, room, heaters, dependable, come, 2, year, thermostat, desirable, temperature"
"amazon, brand, solimo, watts, room, heater, adjustable, thermostat, isi, certified, white, colour, ideal, small, medium, room, area","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",4.0,https://m.media-amazon.com/images/I/41ITfQhGHfL._SX300_SY300_QL70_FMwebp_.jpg,1199.0,2000.0,"powerful, 2400, rpm, copper, winded, motor, quick, heating, vertically, horizontally, kindly, refer, worry, experience, burning, smell, run, room, heater, 1st, time, motor, varnish, getting, heated, 1st, time, problem, recur, subsequent, usage, contact, customer, use, product, 16a, socket, lower, rating, sockets, result, melting, socket, plug, 2, kw, heater, consume, 2, units, hour, operated, high, heat, throw, range, 10, feet, ideal, small, medium, sized, room, product, placed, vertically, horizontally, kindly, refer, warm, hot, wind, selection, knob, heat, setting, note, regulator, changes, heating, power, actual, fan, kg, easy, portability, rooms, plastic, body, rust, free, metal, grill, overheating, 2000, watts, operating, voltage, 220, 240, volts, package, contents, 1, room, heater, instructions, model, fan, speed, fixed, regulated, knob"
"bajaj, majesty, rx10, 2000, watts, heat, convector, room, heater, white, isi, approved","home, kitchen, heating,cooling, airquality, roomheaters, heatconvectors",3.6,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41qmt2a159L._SX300_SY300_QL70_FMwebp_.jpg,2219.0,3080.0,"international, design, heat, settings, 1000, w, 2000, rated, voltage, 230, thermostat, desirable, forced, hot, air, touch, housing, built, way, vertical, winter, personal, fan, summer"
"khaitan, orfin, fan, heater, home, kitchen, k0, 2215","home, kitchen, heating,cooling, airquality, roomheaters, fanheaters",2.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31B8Pd1SmLL._SX300_SY300_QL70_FMwebp_.jpg,1299.0,2495.0,"khaitan, orfin, fan, heater, home, 2000, position, 1000, thermostat, thermal, cutout, grill, fan"
